month,mage,child_gender,mrace,birth_count
2016-10,30  -  34,M,INDIANS,87
2016-10,30  -  34,F,MALAYS,101
2016-10,30  -  34,M,MALAYS,130
2016-10,30  -  34,F,OTHERS,78
2016-10,30  -  34,M,OTHERS,73
2016-10,35  -  39,F,CHINESE,242
2016-10,35  -  39,M,CHINESE,268
2016-10,35  -  39,F,INDIANS,26
2016-10,35  -  39,M,INDIANS,40
2016-10,35  -  39,F,MALAYS,48
2016-10,35  -  39,M,MALAYS,43
2016-10,35  -  39,F,OTHERS,55
2016-10,35  -  39,M,OTHERS,62
2016-10,40  -  44,F,CHINESE,38
2016-10,40  -  44,M,CHINESE,50
2016-10,40  -  44,F,INDIANS,10
2016-10,40  -  44,M,INDIANS,4
2016-10,40  -  44,F,MALAYS,9
2016-10,40  -  44,M,MALAYS,6
2016-10,40  -  44,F,OTHERS,16
2016-10,40  -  44,M,OTHERS,11
2016-10,45  -  49,M,CHINESE,3
2016-11,15  -  19,F,CHINESE,4
2016-11,15  -  19,M,CHINESE,2
2016-11,15  -  19,F,INDIANS,1
2016-11,15  -  19,F,MALAYS,11
2016-11,15  -  19,M,MALAYS,3
2016-11,15  -  19,F,OTHERS,2
2016-11,15  -  19,M,OTHERS,3
2016-11,20  -  24,F,CHINESE,32
2016-11,20  -  24,M,CHINESE,42
2016-11,20  -  24,F,INDIANS,10
2016-11,20  -  24,M,INDIANS,22
2016-11,20  -  24,F,MALAYS,45
2016-11,20  -  24,M,MALAYS,32
2016-11,20  -  24,F,OTHERS,15
2016-11,20  -  24,M,OTHERS,5
2016-11,25  -  29,F,CHINESE,225
2016-11,25  -  29,M,CHINESE,231
2016-11,25  -  29,F,INDIANS,50
2016-11,25  -  29,M,INDIANS,49
2016-11,25  -  29,F,MALAYS,112
2016-11,25  -  29,M,MALAYS,127
2016-11,25  -  29,F,OTHERS,36
2016-11,25  -  29,M,OTHERS,36
2016-11,30  -  34,F,CHINESE,461
2016-11,30  -  34,M,CHINESE,450
2016-11,30  -  34,F,INDIANS,73
2016-11,30  -  34,M,INDIANS,73
2016-11,30  -  34,F,MALAYS,112
2016-11,30  -  34,M,MALAYS,113
2016-11,30  -  34,F,OTHERS,72
2016-11,30  -  34,M,OTHERS,75
2016-11,35  -  39,F,CHINESE,253
2016-11,35  -  39,M,CHINESE,294
2016-11,35  -  39,F,INDIANS,32
2016-11,35  -  39,M,INDIANS,27
2016-11,35  -  39,F,MALAYS,41
2016-11,35  -  39,M,MALAYS,48
2016-11,35  -  39,F,OTHERS,58
2016-11,35  -  39,M,OTHERS,54
2016-11,40  -  44,F,CHINESE,33
2016-11,40  -  44,M,CHINESE,39
2016-11,40  -  44,F,INDIANS,5
2016-11,40  -  44,M,INDIANS,7
2016-11,40  -  44,F,MALAYS,5
2016-11,40  -  44,M,MALAYS,9
2016-11,40  -  44,F,OTHERS,16
2016-11,40  -  44,M,OTHERS,12
2016-11,45  -  49,F,CHINESE,3
2016-11,45  -  49,M,CHINESE,1
2016-11,45  -  49,F,INDIANS,1
2016-11,Under 15,F,MALAYS,2
2016-11,Under 15,F,OTHERS,1
2016-12,15  -  19,F,CHINESE,5
2016-12,15  -  19,M,CHINESE,5
2016-12,15  -  19,M,INDIANS,1
2016-12,15  -  19,F,MALAYS,4
2016-12,15  -  19,M,MALAYS,8
2016-12,15  -  19,F,OTHERS,1
2016-12,15  -  19,M,OTHERS,1
2016-12,20  -  24,F,CHINESE,21
2016-12,20  -  24,M,CHINESE,36
2016-12,20  -  24,F,INDIANS,10
2016-12,20  -  24,M,INDIANS,18
2016-12,20  -  24,F,MALAYS,43
2016-12,20  -  24,M,MALAYS,47
2016-12,20  -  24,F,OTHERS,13
2016-12,20  -  24,M,OTHERS,6
2016-12,25  -  29,F,CHINESE,254
2016-12,25  -  29,M,CHINESE,227
2016-12,25  -  29,F,INDIANS,37
2016-12,25  -  29,M,INDIANS,42
2016-12,25  -  29,F,MALAYS,105
2016-12,25  -  29,M,MALAYS,113
2016-12,25  -  29,F,OTHERS,46
2016-12,25  -  29,M,OTHERS,45
2016-12,30  -  34,F,CHINESE,451
2016-12,30  -  34,M,CHINESE,479
2016-12,30  -  34,F,INDIANS,54
2016-12,30  -  34,M,INDIANS,90
2016-12,30  -  34,F,MALAYS,88
2016-12,30  -  34,M,MALAYS,97
2016-12,30  -  34,F,OTHERS,75
2016-12,30  -  34,M,OTHERS,92
2016-12,35  -  39,F,CHINESE,257
2016-12,35  -  39,M,CHINESE,245
2016-12,35  -  39,F,INDIANS,25
2016-12,35  -  39,M,INDIANS,29
2016-12,35  -  39,F,MALAYS,44
2016-12,35  -  39,M,MALAYS,34
2016-12,35  -  39,F,OTHERS,54
2016-12,35  -  39,M,OTHERS,62
2016-12,40  -  44,F,CHINESE,38
2016-12,40  -  44,M,CHINESE,49
2016-12,40  -  44,F,INDIANS,4
2016-12,40  -  44,M,INDIANS,6
2016-12,40  -  44,F,MALAYS,9
2016-12,40  -  44,M,MALAYS,9
2016-12,40  -  44,F,OTHERS,12
2016-12,40  -  44,M,OTHERS,14
2016-12,45  -  49,F,CHINESE,1
2016-12,45  -  49,M,CHINESE,1
2016-12,45  -  49,F,INDIANS,2
2016-12,45  -  49,M,INDIANS,1
2017-01,15  -  19,F,CHINESE,3
2017-01,15  -  19,M,CHINESE,3
2017-01,15  -  19,F,INDIANS,4
2017-01,15  -  19,M,INDIANS,3
2017-01,15  -  19,F,MALAYS,7
2017-01,15  -  19,M,MALAYS,11
2017-01,15  -  19,F,OTHERS,1
2017-01,15  -  19,M,OTHERS,1
2017-01,20  -  24,F,CHINESE,27
2017-01,20  -  24,M,CHINESE,32
2017-01,20  -  24,F,INDIANS,9
2017-01,20  -  24,M,INDIANS,7
2017-01,20  -  24,F,MALAYS,36
2017-01,20  -  24,M,MALAYS,49
2017-01,20  -  24,F,OTHERS,9
2017-01,20  -  24,M,OTHERS,13
2017-01,25  -  29,F,CHINESE,212
2017-01,25  -  29,M,CHINESE,241
2017-01,25  -  29,F,INDIANS,39
2017-01,25  -  29,M,INDIANS,43
2017-01,25  -  29,F,MALAYS,121
2017-01,25  -  29,M,MALAYS,149
2017-01,25  -  29,F,OTHERS,38
2017-01,25  -  29,M,OTHERS,54
2017-01,30  -  34,F,CHINESE,427
2017-01,30  -  34,M,CHINESE,424
2017-01,30  -  34,F,INDIANS,75
2017-01,30  -  34,M,INDIANS,74
2017-01,30  -  34,F,MALAYS,99
2017-01,30  -  34,M,MALAYS,117
2017-01,30  -  34,F,OTHERS,76
2017-01,30  -  34,M,OTHERS,85
2017-01,35  -  39,F,CHINESE,256
2017-01,35  -  39,M,CHINESE,256
2017-01,35  -  39,F,INDIANS,28
2017-01,35  -  39,M,INDIANS,20
2017-01,35  -  39,F,MALAYS,32
2017-01,35  -  39,M,MALAYS,47
2017-01,35  -  39,F,OTHERS,62
2017-01,35  -  39,M,OTHERS,49
2017-01,40  -  44,F,CHINESE,38
2017-01,40  -  44,M,CHINESE,42
2017-01,40  -  44,F,INDIANS,4
2017-01,40  -  44,M,INDIANS,7
2017-01,40  -  44,F,MALAYS,7
2017-01,40  -  44,M,MALAYS,4
2017-01,40  -  44,F,OTHERS,16
